SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,8/1/2010,62,13.02
PPR-20K,8/1/2010,38,7.98
PPR-20K,8/4/2010,40,8.4
PPR-20K,8/2/2010,2,0.42
PPR-20K,7/29/2010,16,3.36
PPR-20K,7/21/2010,600,126
PPR-20K,7/30/2010,200,42
PPR-20K,7/21/2010,25,5.25
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/4/2010,2,0.42
PPR-20K,8/2/2010,600,120
PPR-20K,8/9/2010,10,2.1
PPR-20K,8/4/2010,100,21
PPR-20K,7/30/2010,30,6.3
PPR-20K,8/9/2010,600,126
PPR-20K,8/16/2010,8,1.6
PPR-20K,8/9/2010,30,6.3
PPR-20K,8/16/2010,50,10
PPR-20K,8/12/2010,20,4.2
PPR-20K,8/12/2010,16,3.36
PPR-20K,8/12/2010,24,4.8
PPR-20K,9/6/2010,34,6.8
PPR-20K,9/6/2010,66,13.86
PPR-20K,8/30/2010,600,126
PPR-20K,8/30/2010,50,10
PPR-20K,8/26/2010,200,40
PPR-20K,8/20/2010,100,20
PPR-20K,9/7/2010,8,1.68
PPR-20K,9/7/2010,100,21
PPR-20K,1/7/2011,0,0
PPR-20K,9/10/2010,28,5.88
PPR-20K,9/8/2010,2,0.36
PPR-20K,8/24/2010,20,4
PPR-20K,9/8/2010,30,6.3
PPR-20K,8/31/2010,50,10
PPR-20K,9/1/2010,14,2.8
PPR-20K,9/1/2010,27,5.4
PPR-20K,9/2/2010,20,4
PPR-20K,9/15/2010,20,4.2
PPR-20K,9/17/2010,3,0.6
PPR-20K,9/17/2010,348,73.08
PPR-20K,9/17/2010,149,31.29
PPR-20K,9/27/2010,2,0.42
PPR-20K,9/24/2010,20,4.2
PPR-20K,9/21/2010,50,10.5
PPR-20K,9/22/2010,600,126
PPR-20K,10/1/2010,40,8.4
PPR-20K,9/29/2010,20,4.2
PPR-20K,10/20/2010,20,4.2
PPR-20K,10/2/2010,2,0.42
PPR-20K,10/2/2010,20,4.2
PPR-20K,11/3/2010,40,8.4
PPR-20K,9/30/2010,0,0
PPR-20K,10/11/2010,20,4.2
PPR-20K,10/20/2010,50,10.5
PPR-20K,10/15/2010,10,2.1
PPR-20K,10/13/2010,10,2.1
PPR-20K,10/13/2010,37,7.77
PPR-20K,10/13/2010,2,0.36
PPR-20K,10/13/2010,161,33.81
PPR-20K,10/14/2010,4,0.84
PPR-20K,10/9/2010,10,2.1
PPR-20K,10/9/2010,10,2.1
PPR-20K,10/11/2010,400,84
PPR-20K,10/11/2010,200,42
PPR-20K,10/19/2010,200,42
PPR-20K,10/21/2010,20,4.2
PPR-20K,10/25/2010,100,21
PPR-20K,10/27/2010,20,4.2
PPR-20K,10/25/2010,20,4.2
PPR-20K,10/28/2010,50,10.5
PPR-20K,10/28/2010,40,8.4
PPR-20K,10/28/2010,20,4.2
PPR-20K,11/5/2010,50,10.5
PPR-20K,11/8/2010,5,1.05
PPR-20K,11/8/2010,10,2.1
PPR-20K,11/9/2010,10,2.1
PPR-20K,11/8/2010,200,42
PPR-20K,11/16/2010,30,6.3
PPR-20K,11/15/2010,20,4.2
PPR-20K,11/17/2010,10,2.1
PPR-20K,11/17/2010,600,126
PPR-20K,11/18/2010,3,0.63
PPR-20K,11/18/2010,20,4.2
PPR-20K,11/22/2010,0,0
PPR-20K,12/1/2010,15,3.15
PPR-20K,11/22/2010,0,0
PPR-20K,11/22/2010,40,8.4
PPR-20K,12/1/2010,27,5.67
PPR-20K,12/1/2010,3,0.63
PPR-20K,12/3/2010,167,35.07
PPR-20K,12/3/2010,0,0
PPR-20K,12/3/2010,233,48.93
PPR-20K,11/30/2010,8,1.68
PPR-20K,12/3/2010,65,13.65
PPR-20K,12/2/2010,30,6.3
PPR-20K,12/14/2010,50,10.5
PPR-20K,12/15/2010,20,4.2
PPR-20K,12/15/2010,20,4.2
PPR-20K,12/16/2010,600,126
PPR-20K,12/21/2010,200,42
PPR-20K,12/22/2010,30,6.3
PPR-20K,12/29/2010,2,0.4
PPR-20K,12/29/2010,2,0.4
PPR-20K,1/10/2011,6,1.26
PPR-20K,1/11/2011,72,15.12
PPR-20K,1/11/2011,3,0.63
PPR-20K,1/11/2011,125,26.25
PPR-20K,1/12/2011,4,0.84
PPR-20K,1/12/2011,26,5.46
PPR-20K,1/17/2011,20,4.2
PPR-20K,1/17/2011,10,2.1
PPR-20K,1/21/2011,50,10.5
PPR-20K,2/24/2011,272,57.12
PPR-20K,2/24/2011,28,5.88
PPR-20K,1/20/2011,0,0
PPR-20K,1/20/2011,0,0
PPR-20K,1/20/2011,20,4.2
PPR-20K,1/21/2011,8,1.68
PPR-20K,1/21/2011,2,0.42
PPR-20K,1/24/2011,50,10.5
PPR-20K,1/21/2011,800,168
PPR-20K,1/26/2011,40,8.4
PPR-20K,1/26/2011,49,10.29
