SIGMA-LI,DateOf,cecha1,cecha2
PPR-R20PN20,8/4/2010,200,276
PPR-R20PN20,8/4/2010,279,373.86
PPR-R20PN20,8/4/2010,4,5.36
PPR-R20PN20,8/2/2010,4,5.52
PPR-R20PN20,8/2/2010,600,804
PPR-R20PN20,7/30/2010,40,55.2
PPR-R20PN20,8/9/2010,600,828
PPR-R20PN20,8/9/2010,16,21.44
PPR-R20PN20,8/25/2010,20,27.6
PPR-R20PN20,8/25/2010,60,82.8
PPR-R20PN20,9/6/2010,80,112.8
PPR-R20PN20,8/30/2010,600,846
PPR-R20PN20,8/30/2010,100,138
PPR-R20PN20,8/26/2010,200,276
PPR-R20PN20,9/16/2010,12,16.92
PPR-R20PN20,8/26/2010,16,22.08
PPR-R20PN20,8/26/2010,40,55.2
PPR-R20PN20,8/31/2010,12,16.56
PPR-R20PN20,8/20/2010,169,226.46
PPR-R20PN20,8/20/2010,31,42.78
PPR-R20PN20,9/7/2010,4,5.64
PPR-R20PN20,9/10/2010,8,11.28
PPR-R20PN20,9/11/2010,12,16.92
PPR-R20PN20,9/1/2010,4,5.52
PPR-R20PN20,9/1/2010,4,5.52
PPR-R20PN20,9/1/2010,12,16.56
PPR-R20PN20,9/17/2010,320,451.2
PPR-R20PN20,9/2/2010,101,139.38
PPR-R20PN20,9/2/2010,99,139.59
PPR-R20PN20,9/22/2010,600,846
PPR-R20PN20,10/1/2010,13,18.33
PPR-R20PN20,10/1/2010,27,38.07
PPR-R20PN20,9/29/2010,48,67.68
PPR-R20PN20,10/7/2010,200,282
PPR-R20PN20,10/2/2010,4,5.64
PPR-R20PN20,11/3/2010,32,45.12
PPR-R20PN20,10/4/2010,4,5.64
PPR-R20PN20,10/1/2010,4,5.64
PPR-R20PN20,10/20/2010,80,112.8
PPR-R20PN20,10/13/2010,8,11.28
PPR-R20PN20,10/9/2010,16,22.56
PPR-R20PN20,10/16/2010,0,0
PPR-R20PN20,10/11/2010,400,564
PPR-R20PN20,10/25/2010,200,282
PPR-R20PN20,11/2/2010,16,22.56
PPR-R20PN20,11/5/2010,13,18.33
PPR-R20PN20,11/5/2010,47,66.27
PPR-R20PN20,11/8/2010,20,28.2
PPR-R20PN20,11/9/2010,8,11.28
PPR-R20PN20,11/14/2010,9,12.69
PPR-R20PN20,11/14/2010,36,50.76
PPR-R20PN20,11/16/2010,32,45.12
PPR-R20PN20,11/17/2010,600,846
PPR-R20PN20,11/22/2010,0,0
PPR-R20PN20,11/19/2010,40,56.4
PPR-R20PN20,11/22/2010,0,0
PPR-R20PN20,11/22/2010,192,270.72
PPR-R20PN20,11/22/2010,108,152.28
PPR-R20PN20,11/22/2010,24,33.84
PPR-R20PN20,11/25/2010,0,0
PPR-R20PN20,11/25/2010,60,84.6
PPR-R20PN20,11/30/2010,400,564
PPR-R20PN20,12/3/2010,4,5.64
PPR-R20PN20,12/3/2010,316,445.56
PPR-R20PN20,12/3/2010,28,39.48
PPR-R20PN20,12/3/2010,36,50.76
PPR-R20PN20,12/3/2010,12,16.92
PPR-R20PN20,12/3/2010,0,0
PPR-R20PN20,12/9/2010,40,56.4
PPR-R20PN20,12/10/2010,20,28.2
PPR-R20PN20,12/15/2010,4,5.64
PPR-R20PN20,12/16/2010,600,846
PPR-R20PN20,12/21/2010,200,282
PPR-R20PN20,12/22/2010,4,5.64
PPR-R20PN20,12/22/2010,28,39.48
PPR-R20PN20,12/23/2010,8,11.28
PPR-R20PN20,12/22/2010,12,16.92
PPR-R20PN20,12/29/2010,1,1.38
PPR-R20PN20,12/29/2010,1,1.38
PPR-R20PN20,1/13/2011,180,253.8
PPR-R20PN20,1/13/2011,20,28.2
PPR-R20PN20,1/12/2011,80,112.8
PPR-R20PN20,1/17/2011,32,45.12
PPR-R20PN20,1/17/2011,4,5.64
PPR-R20PN20,1/19/2011,15,21.15
PPR-R20PN20,1/21/2011,320,451.2
PPR-R20PN20,2/24/2011,261,368.01
PPR-R20PN20,2/24/2011,379,534.39
PPR-R20PN20,1/20/2011,0,0
PPR-R20PN20,1/21/2011,12,16.92
PPR-R20PN20,1/24/2011,4,5.64
PPR-R20PN20,1/24/2011,52,73.32
PPR-R20PN20,1/21/2011,400,564
PPR-R20PN20,1/26/2011,60,84.6
PPR-R20PN20,1/26/2011,81,114.21
PPR-R20PN20,1/26/2011,119,167.79
PPR-R20PN20,1/31/2011,400,564
PPR-R20PN20,2/7/2011,0,0
PPR-R20PN20,2/7/2011,16,22.56
PPR-R20PN20,2/7/2011,8,11.28
PPR-R20PN20,2/10/2011,40,56.4
PPR-R20PN20,2/11/2011,17,23.97
PPR-R20PN20,2/11/2011,400,564
PPR-R20PN20,2/11/2011,83,117.03
PPR-R20PN20,2/14/2011,4,5.64
PPR-R20PN20,2/21/2011,2000,2820
PPR-R20PN20,2/16/2011,40,56.4
PPR-R20PN20,2/22/2011,0,0
PPR-R20PN20,2/28/2011,20,28.2
PPR-R20PN20,2/28/2011,52,73.32
PPR-R20PN20,3/2/2011,100,141
PPR-R20PN20,3/2/2011,80,112.8
PPR-R20PN20,3/3/2011,52,73.32
PPR-R20PN20,3/3/2011,200,282
PPR-R20PN20,3/4/2011,4,5.64
PPR-R20PN20,3/3/2011,320,451.2
PPR-R20PN20,3/7/2011,32,45.12
PPR-R20PN20,3/8/2011,20,28.2
PPR-R20PN20,3/11/2011,4,5.64
PPR-R20PN20,3/11/2011,200,282
PPR-R20PN20,3/15/2011,40,56.4
PPR-R20PN20,3/16/2011,100,141
PPR-R20PN20,3/18/2011,12,16.92
PPR-R20PN20,3/18/2011,52,73.32
PPR-R20PN20,3/22/2011,12,16.92
PPR-R20PN20,3/22/2011,600,900
PPR-R20PN20,3/25/2011,100,141
PPR-R20PN20,4/1/2011,8,11.28
PPR-R20PN20,4/1/2011,20,28.2
PPR-R20PN20,4/1/2011,40,56.4
PPR-R20PN20,3/30/2011,32,45.12
PPR-R20PN20,3/30/2011,121,170.61
PPR-R20PN20,3/30/2011,279,418.5
PPR-R20PN20,4/1/2011,40,60
PPR-R20PN20,4/4/2011,12,18
PPR-R20PN20,4/5/2011,1000,1500
PPR-R20PN20,4/7/2011,0,0
PPR-R20PN20,4/8/2011,8,12
PPR-R20PN20,4/11/2011,0,0
PPR-R20PN20,4/12/2011,8,12
PPR-R20PN20,4/13/2011,44,66
PPR-R20PN20,4/16/2011,12,18
PPR-R20PN20,4/18/2011,8,12
PPR-R20PN20,4/19/2011,12,16.92
PPR-R20PN20,4/19/2011,28,42
PPR-R20PN20,4/20/2011,4,6
PPR-R20PN20,4/20/2011,200,300
PPR-R20PN20,4/21/2011,153,229.5
PPR-R20PN20,4/21/2011,447,670.5
PPR-R20PN20,4/27/2011,20,30
PPR-R20PN20,4/30/2011,100,150
PPR-R20PN20,4/30/2011,20,30
PPR-R20PN20,5/5/2011,0,0
PPR-R20PN20,5/5/2011,60,90
PPR-R20PN20,5/9/2011,0,0
PPR-R20PN20,5/9/2011,8,12
PPR-R20PN20,5/9/2011,1600,2400
PPR-R20PN20,5/12/2011,24,36
PPR-R20PN20,5/13/2011,8,12
PPR-R20PN20,5/17/2011,32,48
PPR-R20PN20,5/18/2011,8,12
PPR-R20PN20,5/24/2011,13,19.5
PPR-R20PN20,5/24/2011,27,40.5
PPR-R20PN20,5/24/2011,20,30
PPR-R20PN20,5/24/2011,200,300
PPR-R20PN20,5/24/2011,40,60
PPR-R20PN20,6/1/2011,4,6
PPR-R20PN20,5/30/2011,80,120
PPR-R20PN20,5/27/2011,40,60
PPR-R20PN20,5/31/2011,9,13.5
PPR-R20PN20,5/31/2011,91,136.5
PPR-R20PN20,6/1/2011,4,6
PPR-R20PN20,6/1/2011,12,18
PPR-R20PN20,6/1/2011,40,60
PPR-R20PN20,6/2/2011,40,60
PPR-R20PN20,6/3/2011,32,48
PPR-R20PN20,6/9/2011,12,18
PPR-R20PN20,6/14/2011,200,300
PPR-R20PN20,6/11/2011,60,90
PPR-R20PN20,6/13/2011,40,60
PPR-R20PN20,6/17/2011,16,24
PPR-R20PN20,7/1/2011,32,48
PPR-R20PN20,6/27/2011,40,60
PPR-R20PN20,7/18/2011,32,48
PPR-R20PN20,7/21/2011,8,12
PPR-R20PN20,7/21/2011,20,30
PPR-R20PN20,7/26/2011,40,60
PPR-R20PN20,7/29/2011,100,150
PPR-R20PN20,8/1/2011,20,30
PPR-R20PN20,8/5/2011,8,12
PPR-R20PN20,8/9/2011,100,150
PPR-R20PN20,8/9/2011,40,60
PPR-R20PN20,8/9/2011,200,300
PPR-R20PN20,8/10/2011,200,300
PPR-R20PN20,8/12/2011,12,18
PPR-R20PN20,8/12/2011,0,0
PPR-R20PN20,8/16/2011,80,120
PPR-R20PN20,8/16/2011,800,1224
PPR-R20PN20,8/18/2011,141,211.5
PPR-R20PN20,8/18/2011,59,90.27
PPR-R20PN20,8/19/2011,0,0
PPR-R20PN20,8/20/2011,12,18.36
PPR-R20PN20,8/22/2011,32,48.96
PPR-R20PN20,8/22/2011,8,12.24
PPR-R20PN20,8/22/2011,0,0
PPR-R20PN20,8/24/2011,400,612
PPR-R20PN20,8/26/2011,12,18.36
PPR-R20PN20,9/1/2011,4,6.12
PPR-R20PN20,8/29/2011,1200,1836
PPR-R20PN20,9/1/2011,4,6.12
PPR-R20PN20,9/6/2011,16,24.48
PPR-R20PN20,9/6/2011,100,153
PPR-R20PN20,9/7/2011,24,36.72
PPR-R20PN20,9/8/2011,77,117.81
PPR-R20PN20,9/8/2011,323,494.19
PPR-R20PN20,9/8/2011,100,153
PPR-R20PN20,9/12/2011,0,0
PPR-R20PN20,9/12/2011,12,18
PPR-R20PN20,9/12/2011,12,18.36
PPR-R20PN20,9/14/2011,0,0
PPR-R20PN20,9/14/2011,400,612
PPR-R20PN20,9/15/2011,100,153
PPR-R20PN20,9/16/2011,16,24.48
PPR-R20PN20,9/17/2011,0,0
PPR-R20PN20,9/17/2011,12,18.36
PPR-R20PN20,9/20/2011,400,612
PPR-R20PN20,9/27/2011,4,6.12
PPR-R20PN20,9/26/2011,4,6.12
PPR-R20PN20,9/29/2011,200,306
PPR-R20PN20,10/1/2011,4,6.12
PPR-R20PN20,10/1/2011,4,6.12
PPR-R20PN20,10/3/2011,32,48.96
PPR-R20PN20,10/6/2011,40,61.2
PPR-R20PN20,10/6/2011,800,1224
PPR-R20PN20,10/6/2011,800,1288
PPR-R20PN20,10/8/2011,101,154.53
PPR-R20PN20,10/8/2011,99,151.47
PPR-R20PN20,10/11/2011,0,0
PPR-R20PN20,10/12/2011,1,1.53
PPR-R20PN20,10/12/2011,3,4.59
PPR-R20PN20,10/12/2011,40,61.2
PPR-R20PN20,10/13/2011,8,12.24
PPR-R20PN20,10/14/2011,8,12.24
